위반일시,위반법조항,위반장소,,,,,,,,,,,,,,,,,,,,,,,,,,
201812200915,제48조제1항,경상북도 울릉군 남양1길 30,,,,,,,,,,,,,,,,,,,,,,,,,,
201905021426,제22조3항,경상북도 울릉군 저동4길 25,,,,,,,,,,,,,,,,,,,,,,,,,,
201905191830,제48조제1항,경북 울릉 울릉 도동,,,,,,,,,,,,,,,,,,,,,,,,,,
201905281028,제54조1항,북면보건지소,,,,,,,,,,,,,,,,,,,,,,,,,,
201906221436,제22조3항,내수전터널,,,,,,,,,,,,,,,,,,,,,,,,,,
201908091550,제73조2항,경상북도 울릉군 울릉읍,,,,,,,,,,,,,,,,,,,,,,,,,,
201908291604,제73조2항,경상북도 울릉군 울릉읍,,,,,,,,,,,,,,,,,,,,,,,,,,
201908300855,제25조,우산중학교 입구,,,,,,,,,,,,,,,,,,,,,,,,,,
201909142245,제54조1항,경상북도 울릉군 울릉순환로 396-18,,,,,,,,,,,,,,,,,,,,,,,,,,
201908300855,제25조,우산중학교 입구,,,,,,,,,,,,,,,,,,,,,,,,,,
201909142245,제54조1항,경상북도 울릉군 울릉순환로 396-18,,,,,,,,,,,,,,,,,,,,,,,,,,
201908261145,제48조제1항,경북 울릉 북면 천부,,,,,,,,,,,,,,,,,,,,,,,,,,
201907280700,제48조제1항,경북 울릉 북면 나리,,,,,,,,,,,,,,,,,,,,,,,,,,
201909051730,제48조제1항,경북 울릉 울릉 도동,,,,,,,,,,,,,,,,,,,,,,,,,,
201910151259,제25조,경북 울릉 서면 남양,,,,,,,,,,,,,,,,,,,,,,,,,,
201909141425,제48조제1항,경북 울릉 울릉 도동,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,