날짜,지점,강수량(mm),,,,,,,,,,,0
2019.7.27,115,3.7,,,,,,,,,,,
2019.7.28,115,,,,,,,,,,,,
2019.7.29,115,0.1,,,,,,,,,,,
2019.7.30,115,,,,,,,,,,,,
2019.7.31,115,,,,,,,,,,,,
2019.8.1,115,,,,,,,,,,,,
2019.8.2,115,,,,,,,,,,,,
2019.8.3,115,,,,,,,,,,,,
2019.8.4,115,,,,,,,,,,,,
2019.8.5,115,,,,,,,,,,,,
2019.8.6,115,0.2,,,,,,,,,,,
2019.8.7,115,0.7,,,,,,,,,,,
2019.8.8,115,0,,,,,,,,,,,
2019.8.9,115,0,,,,,,,,,,,
2019.8.10,115,,,,,,,,,,,,
2019.8.11,115,,,,,,,,,,,,
2019.8.12,115,,,,,,,,,,,,
2019.8.13,115,,,,,,,,,,,,
2019.8.14,115,0.4,,,,,,,,,,,
2019.8.15,115,17.5,,,,,,,,,,,
2019.8.16,115,14.7,,,,,,,,,,,
2019.8.17,115,,,,,,,,,,,,
2019.8.18,115,,,,,,,,,,,,
2019.8.19,115,,,,,,,,,,,,
2019.8.20,115,,,,,,,,,,,,
2019.8.21,115,,,,,,,,,,,,
2019.8.22,115,2.4,,,,,,,,,,,
2019.8.23,115,,,,,,,,,,,,
2019.8.24,115,,,,,,,,,,,,
2019.8.25,115,0,,,,,,,,,,,
2019.8.26,115,0,,,,,,,,,,,
2019.8.27,115,5.1,,,,,,,,,,,
2019.8.28,115,0,,,,,,,,,,,
2019.8.29,115,,,,,,,,,,,,
2019.8.30,115,,,,,,,,,,,,
2019.8.31,115,,,,,,,,,,,,
2019.9.1,115,,,,,,,,,,,,
2019.9.2,115,0,,,,,,,,,,,
2019.9.3,115,10.9,,,,,,,,,,,
2019.9.4,115,32.2,,,,,,,,,,,
2019.9.5,115,0,,,,,,,,,,,
2019.9.6,115,,,,,,,,,,,,
2019.9.7,115,,,,,,,,,,,,
2019.9.8,115,0,,,,,,,,,,,
2019.9.9,115,0,,,,,,,,,,,
2019.9.10,115,,,,,,,,,,,,
2019.9.11,115,35.2,,,,,,,,,,,
2019.9.12,115,,,,,,,,,,,,
2019.9.13,115,0,,,,,,,,,,,
2019.9.14,115,,,,,,,,,,,,
2019.9.15,115,0,,,,,,,,,,,
2019.9.16,115,,,,,,,,,,,,
2019.9.17,115,,,,,,,,,,,,
2019.9.18,115,,,,,,,,,,,,
2019.9.19,115,,,,,,,,,,,,
2019.9.20,115,0,,,,,,,,,,,
2019.9.21,115,13.5,,,,,,,,,,,
2019.9.22,115,94.9,,,,,,,,,,,
2019.9.23,115,61.7,,,,,,,,,,,
2019.9.24,115,,,,,,,,,,,,
2019.9.25,115,,,,,,,,,,,,
2019.9.26,115,,,,,,,,,,,,
2019.9.27,115,,,,,,,,,,,,
2019.9.28,115,7.8,,,,,,,,,,,
2019.9.29,115,,,,,,,,,,,,
2019.9.30,115,,,,,,,,,,,,
2019.10.1,115,,,,,,,,,,,,
2019.10.2,115,27.5,,,,,,,,,,,
2019.10.3,115,68.5,,,,,,,,,,,
2019.10.4,115,0.9,,,,,,,,,,,
2019.10.5,115,21.1,,,,,,,,,,,
2019.10.6,115,,,,,,,,,,,,
2019.10.7,115,4,,,,,,,,,,,
2019.10.8,115,0,,,,,,,,,,,
2019.10.9,115,,,,,,,,,,,,
2019.10.10,115,,,,,,,,,,,,
2019.10.11,115,,,,,,,,,,,,
2019.10.12,115,,,,,,,,,,,,
2019.10.13,115,,,,,,,,,,,,
2019.10.14,115,0.5,,,,,,,,,,,
2019.10.15,115,0,,,,,,,,,,,
2019.10.16,115,,,,,,,,,,,,
2019.10.17,115,,,,,,,,,,,,
2019.10.18,115,6.5,,,,,,,,,,,
2019.10.19,115,15.9,,,,,,,,,,,
2019.10.20,115,,,,,,,,,,,,
2019.10.21,115,,,,,,,,,,,,
2019.10.22,115,,,,,,,,,,,,
2019.10.23,115,,,,,,,,,,,,
2019.10.24,115,19.6,,,,,,,,,,,
2019.10.25,115,9.4,,,,,,,,,,,
2019.10.26,115,0.2,,,,,,,,,,,
2019.10.27,115,18.4,,,,,,,,,,,
2019.10.28,115,,,,,,,,,,,,
2019.10.29,115,0,,,,,,,,,,,
2019.10.30,115,,,,,,,,,,,,
2019.10.31,115,,,,,,,,,,,,
2019.11.1,115,,,,,,,,,,,,
2019.11.2,115,,,,,,,,,,,,
2019.11.3,115,,,,,,,,,,,,
2019.11.4,115,,,,,,,,,,,,
2019.11.5,115,,,,,,,,,,,,
2019.11.6,115,0,,,,,,,,,,,
2019.11.7,115,0.9,,,,,,,,,,,
2019.11.8,115,3.5,,,,,,,,,,,
2019.11.9,115,16.1,,,,,,,,,,,
2019.11.10,115,0,,,,,,,,,,,
2019.11.11,115,18.8,,,,,,,,,,,
2019.11.12,115,0.9,,,,,,,,,,,
2019.11.13,115,0,,,,,,,,,,,
2019.11.14,115,0,,,,,,,,,,,
2019.11.15,115,6.6,,,,,,,,,,,
2019.11.16,115,0.1,,,,,,,,,,,
2019.11.17,115,0.7,,,,,,,,,,,
2019.11.18,115,9.8,,,,,,,,,,,
2019.11.19,115,0,,,,,,,,,,,
2019.11.20,115,0.2,,,,,,,,,,,
2019.11.21,115,,,,,,,,,,,,
2019.11.22,115,,,,,,,,,,,,
2019.11.23,115,,,,,,,,,,,,
2019.11.24,115,0,,,,,,,,,,,
2019.11.25,115,16.2,,,,,,,,,,,
2019.11.26,115,0.2,,,,,,,,,,,
2019.11.27,115,13.3,,,,,,,,,,,
2019.11.28,115,1.7,,,,,,,,,,,
2019.11.29,115,20,,,,,,,,,,,
2019.11.30,115,12.2,,,,,,,,,,,
2019.12.1,115,7,,,,,,,,,,,
2019.12.2,115,4.2,,,,,,,,,,,
2019.12.3,115,0,,,,,,,,,,,
2019.12.4,115,0.2,,,,,,,,,,,
2019.12.5,115,3.3,,,,,,,,,,,
2019.12.6,115,2.9,,,,,,,,,,,
2019.12.7,115,0,,,,,,,,,,,
2019.12.8,115,0,,,,,,,,,,,
2019.12.9,115,,,,,,,,,,,,
2019.12.10,115,,,,,,,,,,,,
2019.12.11,115,,,,,,,,,,,,
2019.12.12,115,0.4,,,,,,,,,,,
2019.12.13,115,,,,,,,,,,,,
2019.12.14,115,2.2,,,,,,,,,,,
2019.12.15,115,,,,,,,,,,,,
2019.12.16,115,,,,,,,,,,,,
2019.12.17,115,0.6,,,,,,,,,,,
2019.12.18,115,1,,,,,,,,,,,
2019.12.19,115,7.5,,,,,,,,,,,
2019.12.20,115,0,,,,,,,,,,,
2019.12.21,115,,,,,,,,,,,,
2019.12.22,115,0,,,,,,,,,,,
2019.12.23,115,11.2,,,,,,,,,,,
2019.12.24,115,2.1,,,,,,,,,,,
2019.12.25,115,,,,,,,,,,,,
2019.12.26,115,8.7,,,,,,,,,,,
2019.12.27,115,5.9,,,,,,,,,,,
2019.12.28,115,0,,,,,,,,,,,
2019.12.29,115,0,,,,,,,,,,,
2019.12.30,115,0.8,,,,,,,,,,,
2019.12.31,115,10.2,,,,,,,,,,,
2020.1.1,115,,,,,,,,,,,,
2020.1.2,115,,,,,,,,,,,,
2020.1.3,115,,,,,,,,,,,,
2020.1.4,115,1.5,,,,,,,,,,,
2020.1.5,115,4.7,,,,,,,,,,,
2020.1.6,115,2.8,,,,,,,,,,,
2020.1.7,115,26.3,,,,,,,,,,,
2020.1.8,115,14,,,,,,,,,,,
2020.1.9,115,1.1,,,,,,,,,,,
2020.1.10,115,,,,,,,,,,,,
2020.1.11,115,0,,,,,,,,,,,
2020.1.12,115,11.1,,,,,,,,,,,
2020.1.13,115,3,,,,,,,,,,,
2020.1.14,115,22.8,,,,,,,,,,,
2020.1.15,115,1.2,,,,,,,,,,,
2020.1.16,115,,,,,,,,,,,,
2020.1.17,115,7.3,,,,,,,,,,,
2020.1.18,115,0,,,,,,,,,,,
2020.1.19,115,0.1,,,,,,,,,,,
2020.1.20,115,,,,,,,,,,,,
2020.1.21,115,1.4,,,,,,,,,,,
2020.1.22,115,,,,,,,,,,,,
2020.1.23,115,0,,,,,,,,,,,
2020.1.24,115,,,,,,,,,,,,
2020.1.25,115,0,,,,,,,,,,,
2020.1.26,115,1.6,,,,,,,,,,,
2020.1.27,115,0.8,,,,,,,,,,,
2020.1.28,115,10.4,,,,,,,,,,,
2020.1.29,115,2.3,,,,,,,,,,,
2020.1.30,115,0,,,,,,,,,,,
2020.1.31,115,0.5,,,,,,,,,,,
2020.2.1,115,0.2,,,,,,,,,,,
2020.2.2,115,,,,,,,,,,,,
2020.2.3,115,0,,,,,,,,,,,
2020.2.4,115,,,,,,,,,,,,
2020.2.5,115,26,,,,,,,,,,,
2020.2.6,115,3.2,,,,,,,,,,,
2020.2.7,115,0,,,,,,,,,,,
2020.2.8,115,3.8,,,,,,,,,,,
2020.2.9,115,0,,,,,,,,,,,
2020.2.10,115,0.2,,,,,,,,,,,
2020.2.11,115,,,,,,,,,,,,
2020.2.12,115,37.6,,,,,,,,,,,
2020.2.13,115,1.4,,,,,,,,,,,
2020.2.14,115,,,,,,,,,,,,
2020.2.15,115,,,,,,,,,,,,
2020.2.16,115,15,,,,,,,,,,,
2020.2.17,115,78.4,,,,,,,,,,,
2020.2.18,115,28.8,,,,,,,,,,,
2020.2.19,115,,,,,,,,,,,,
2020.2.20,115,,,,,,,,,,,,
2020.2.21,115,0,,,,,,,,,,,
2020.2.22,115,1.7,,,,,,,,,,,
2020.2.23,115,,,,,,,,,,,,
2020.2.24,115,,,,,,,,,,,,
2020.2.25,115,18.2,,,,,,,,,,,
2020.2.26,115,0,,,,,,,,,,,
2020.2.27,115,,,,,,,,,,,,
2020.2.28,115,1.2,,,,,,,,,,,
2020.2.29,115,0,,,,,,,,,,,
2020.3.1,115,,,,,,,,,,,,
2020.3.2,115,1.8,,,,,,,,,,,
2020.3.3,115,,,,,,,,,,,,
2020.3.4,115,3.5,,,,,,,,,,,
2020.3.5,115,2.6,,,,,,,,,,,
2020.3.6,115,,,,,,,,,,,,
2020.3.7,115,,,,,,,,,,,,
2020.3.8,115,,,,,,,,,,,,
2020.3.9,115,,,,,,,,,,,,
2020.3.10,115,23.5,,,,,,,,,,,
2020.3.11,115,4,,,,,,,,,,,
2020.3.12,115,,,,,,,,,,,,
2020.3.13,115,0,,,,,,,,,,,
2020.3.14,115,2.7,,,,,,,,,,,
2020.3.15,115,0.4,,,,,,,,,,,
2020.3.16,115,0.2,,,,,,,,,,,
2020.3.17,115,0,,,,,,,,,,,
2020.3.18,115,,,,,,,,,,,,
2020.3.19,115,,,,,,,,,,,,
2020.3.20,115,,,,,,,,,,,,
2020.3.21,115,0.1,,,,,,,,,,,
2020.3.22,115,,,,,,,,,,,,
2020.3.23,115,,,,,,,,,,,,
2020.3.24,115,,,,,,,,,,,,
2020.3.25,115,,,,,,,,,,,,
2020.3.26,115,6.1,,,,,,,,,,,
2020.3.27,115,20.6,,,,,,,,,,,
2020.3.28,115,,,,,,,,,,,,
2020.3.29,115,,,,,,,,,,,,
2020.3.30,115,,,,,,,,,,,,
2020.3.31,115,,,,,,,,,,,,
2020.4.1,115,0,,,,,,,,,,,
2020.4.2,115,,,,,,,,,,,,
2020.4.3,115,,,,,,,,,,,,
2020.4.4,115,0,,,,,,,,,,,
2020.4.5,115,,,,,,,,,,,,
2020.4.6,115,,,,,,,,,,,,
2020.4.7,115,,,,,,,,,,,,
2020.4.8,115,6.6,,,,,,,,,,,
2020.4.9,115,,,,,,,,,,,,
2020.4.10,115,,,,,,,,,,,,
2020.4.11,115,,,,,,,,,,,,
2020.4.12,115,,,,,,,,,,,,
2020.4.13,115,,,,,,,,,,,,
2020.4.14,115,,,,,,,,,,,,
2020.4.15,115,,,,,,,,,,,,
2020.4.16,115,,,,,,,,,,,,
2020.4.17,115,13.1,,,,,,,,,,,
2020.4.18,115,0,,,,,,,,,,,
2020.4.19,115,13.5,,,,,,,,,,,
2020.4.20,115,2.8,,,,,,,,,,,
2020.4.21,115,,,,,,,,,,,,
2020.4.22,115,0.1,,,,,,,,,,,
2020.4.23,115,2.6,,,,,,,,,,,
2020.4.24,115,0.5,,,,,,,,,,,
2020.4.25,115,,,,,,,,,,,,
2020.4.26,115,,,,,,,,,,,,
2020.4.27,115,5.3,,,,,,,,,,,
2020.4.28,115,,,,,,,,,,,,
2020.4.29,115,,,,,,,,,,,,
2020.4.30,115,,,,,,,,,,,,
2020.5.1,115,,,,,,,,,,,,
2020.5.2,115,,,,,,,,,,,,
2020.5.3,115,0,,,,,,,,,,,
2020.5.4,115,,,,,,,,,,,,
2020.5.5,115,2.4,,,,,,,,,,,
2020.5.6,115,0.1,,,,,,,,,,,
2020.5.7,115,,,,,,,,,,,,
2020.5.8,115,,,,,,,,,,,,
2020.5.9,115,53.3,,,,,,,,,,,
2020.5.10,115,,,,,,,,,,,,
2020.5.11,115,,,,,,,,,,,,
2020.5.12,115,,,,,,,,,,,,
2020.5.13,115,,,,,,,,,,,,
2020.5.14,115,,,,,,,,,,,,
2020.5.15,115,16,,,,,,,,,,,
2020.5.16,115,1.8,,,,,,,,,,,
2020.5.17,115,,,,,,,,,,,,
2020.5.18,115,0,,,,,,,,,,,
2020.5.19,115,36.3,,,,,,,,,,,
2020.5.20,115,12.5,,,,,,,,,,,
2020.5.21,115,1.4,,,,,,,,,,,
2020.5.22,115,,,,,,,,,,,,
2020.5.23,115,0,,,,,,,,,,,
2020.5.24,115,0.8,,,,,,,,,,,
2020.5.25,115,,,,,,,,,,,,
2020.5.26,115,,,,,,,,,,,,
2020.5.27,115,0,,,,,,,,,,,
2020.5.28,115,,,,,,,,,,,,
2020.5.29,115,,,,,,,,,,,,
2020.5.30,115,,,,,,,,,,,,
2020.5.31,115,,,,,,,,,,,,
2020.6.1,115,,,,,,,,,,,,
2020.6.2,115,,,,,,,,,,,,
2020.6.3,115,,,,,,,,,,,,
2020.6.4,115,,,,,,,,,,,,
2020.6.5,115,,,,,,,,,,,,
2020.6.6,115,,,,,,,,,,,,
2020.6.7,115,,,,,,,,,,,,
2020.6.8,115,,,,,,,,,,,,
2020.6.9,115,,,,,,,,,,,,
2020.6.10,115,,,,,,,,,,,,
2020.6.11,115,1.2,,,,,,,,,,,
2020.6.12,115,,,,,,,,,,,,
2020.6.13,115,,,,,,,,,,,,
2020.6.14,115,1,,,,,,,,,,,
2020.6.15,115,,,,,,,,,,,,
2020.6.16,115,,,,,,,,,,,,
2020.6.17,115,,,,,,,,,,,,
2020.6.18,115,,,,,,,,,,,,
2020.6.19,115,,,,,,,,,,,,
2020.6.20,115,0,,,,,,,,,,,
2020.6.21,115,,,,,,,,,,,,
2020.6.22,115,,,,,,,,,,,,
2020.6.23,115,,,,,,,,,,,,
2020.6.24,115,3.5,,,,,,,,,,,
2020.6.25,115,32.2,,,,,,,,,,,
2020.6.26,115,,,,,,,,,,,,
2020.6.27,115,,,,,,,,,,,,
2020.6.28,115,1.3,,,,,,,,,,,
2020.6.29,115,0,,,,,,,,,,,
2020.6.30,115,61.7,,,,,,,,,,,
2020.7.1,115,51.7,,,,,,,,,,,
2020.7.2,115,,,,,,,,,,,,
2020.7.3,115,0,,,,,,,,,,,
2020.7.4,115,3.2,,,,,,,,,,,
2020.7.5,115,,,,,,,,,,,,
2020.7.6,115,,,,,,,,,,,,
2020.7.7,115,0.5,,,,,,,,,,,
2020.7.8,115,0,,,,,,,,,,,
2020.7.9,115,,,,,,,,,,,,
2020.7.10,115,83,,,,,,,,,,,
2020.7.11,115,4,,,,,,,,,,,
2020.7.12,115,0,,,,,,,,,,,
2020.7.13,115,37.8,,,,,,,,,,,
2020.7.14,115,40,,,,,,,,,,,
2020.7.15,115,0.1,,,,,,,,,,,
2020.7.16,115,,,,,,,,,,,,
2020.7.17,115,,,,,,,,,,,,
2020.7.18,115,,,,,,,,,,,,
2020.7.19,115,,,,,,,,,,,,
2020.7.20,115,0.3,,,,,,,,,,,
2020.7.21,115,,,,,,,,,,,,
2020.7.22,115,,,,,,,,,,,,
2020.7.23,115,1.3,,,,,,,,,,,
2020.7.24,115,53.1,,,,,,,,,,,
2020.7.25,115,13.6,,,,,,,,,,,
2020.7.26,115,,,,,,,,,,,,
2020.7.27,115,2.2,,,,,,,,,,,
2020.7.28,115,3.5,,,,,,,,,,,
2020.7.29,115,13.3,,,,,,,,,,,
2020.7.30,115,0.6,,,,,,,,,,,
2020.7.31,115,,,,,,,,,,,,
2020.8.1,115,0,,,,,,,,,,,
2020.8.2,115,1.2,,,,,,,,,,,
2020.8.3,115,,,,,,,,,,,,
2020.8.4,115,1,,,,,,,,,,,
2020.8.5,115,0.2,,,,,,,,,,,
2020.8.6,115,30.5,,,,,,,,,,,
2020.8.7,115,4.1,,,,,,,,,,,
2020.8.8,115,0.3,,,,,,,,,,,
2020.8.9,115,1.7,,,,,,,,,,,
2020.8.10,115,0.6,,,,,,,,,,,
2020.8.11,115,5,,,,,,,,,,,
2020.8.12,115,,,,,,,,,,,,
2020.8.13,115,,,,,,,,,,,,
2020.8.14,115,,,,,,,,,,,,
2020.8.15,115,,,,,,,,,,,,
2020.8.16,115,,,,,,,,,,,,
2020.8.17,115,,,,,,,,,,,,
2020.8.18,115,,,,,,,,,,,,
2020.8.19,115,,,,,,,,,,,,
2020.8.20,115,,,,,,,,,,,,
2020.8.21,115,4,,,,,,,,,,,
2020.8.22,115,,,,,,,,,,,,
2020.8.23,115,4.7,,,,,,,,,,,
2020.8.24,115,,,,,,,,,,,,
2020.8.25,115,,,,,,,,,,,,
2020.8.26,115,,,,,,,,,,,,
2020.8.27,115,,,,,,,,,,,,
2020.8.28,115,,,,,,,,,,,,
2020.8.29,115,,,,,,,,,,,,
2020.8.30,115,9.7,,,,,,,,,,,
2020.8.31,115,5.4,,,,,,,,,,,
2020.9.1,115,,,,,,,,,,,,
2020.9.2,115,0.8,,,,,,,,,,,
2020.9.3,115,1.8,,,,,,,,,,,
2020.9.4,115,,,,,,,,,,,,
2020.9.5,115,1.4,,,,,,,,,,,
2020.9.6,115,7.7,,,,,,,,,,,
2020.9.7,115,0.5,,,,,,,,,,,
2020.9.8,115,,,,,,,,,,,,
2020.9.9,115,,,,,,,,,,,,
2020.9.10,115,0,,,,,,,,,,,
2020.9.11,115,3.6,,,,,,,,,,,
2020.9.12,115,47.3,,,,,,,,,,,
2020.9.13,115,22.4,,,,,,,,,,,
2020.9.14,115,,,,,,,,,,,,
2020.9.15,115,,,,,,,,,,,,
2020.9.16,115,0.7,,,,,,,,,,,
2020.9.17,115,0,,,,,,,,,,,
2020.9.18,115,0,,,,,,,,,,,
2020.9.19,115,,,,,,,,,,,,
2020.9.20,115,,,,,,,,,,,,
2020.9.21,115,,,,,,,,,,,,
2020.9.22,115,,,,,,,,,,,,
2020.9.23,115,,,,,,,,,,,,
2020.9.24,115,1.1,,,,,,,,,,,
2020.9.25,115,4,,,,,,,,,,,
2020.9.26,115,7.9,,,,,,,,,,,
2020.9.27,115,0.8,,,,,,,,,,,
2020.9.28,115,,,,,,,,,,,,
2020.9.29,115,,,,,,,,,,,,
2020.9.30,115,10.8,,,,,,,,,,,
2020.10.1,115,1.3,,,,,,,,,,,
2020.10.2,115,,,,,,,,,,,,
2020.10.3,115,1.7,,,,,,,,,,,
2020.10.4,115,0,,,,,,,,,,,
2020.10.5,115,,,,,,,,,,,,
2020.10.6,115,,,,,,,,,,,,
2020.10.7,115,,,,,,,,,,,,
2020.10.8,115,,,,,,,,,,,,
2020.10.9,115,,,,,,,,,,,,
2020.10.10,115,,,,,,,,,,,,
2020.10.11,115,0,,,,,,,,,,,
2020.10.12,115,,,,,,,,,,,,
2020.10.13,115,19.1,,,,,,,,,,,
2020.10.14,115,6,,,,,,,,,,,
2020.10.15,115,44.8,,,,,,,,,,,
2020.10.16,115,8.2,,,,,,,,,,,
2020.10.17,115,,,,,,,,,,,,
2020.10.18,115,,,,,,,,,,,,
2020.10.19,115,,,,,,,,,,,,
2020.10.20,115,,,,,,,,,,,,
2020.10.21,115,0.5,,,,,,,,,,,
2020.10.22,115,0.7,,,,,,,,,,,
2020.10.23,115,0.2,,,,,,,,,,,
2020.10.24,115,,,,,,,,,,,,
2020.10.25,115,,,,,,,,,,,,
2020.10.26,115,,,,,,,,,,,,
2020.10.27,115,,,,,,,,,,,,
2020.10.28,115,,,,,,,,,,,,
2020.10.29,115,0,,,,,,,,,,,
2020.10.30,115,,,,,,,,,,,,
2020.10.31,115,,,,,,,,,,,,
2020.11.1,115,3.7,,,,,,,,,,,
2020.11.2,115,,,,,,,,,,,,
2020.11.3,115,0.1,,,,,,,,,,,
2020.11.4,115,,,,,,,,,,,,
2020.11.5,115,,,,,,,,,,,,
2020.11.6,115,,,,,,,,,,,,
2020.11.7,115,,,,,,,,,,,,
2020.11.8,115,,,,,,,,,,,,
2020.11.9,115,,,,,,,,,,,,
2020.11.10,115,0,,,,,,,,,,,
2020.11.11,115,,,,,,,,,,,,
2020.11.12,115,,,,,,,,,,,,
2020.11.13,115,,,,,,,,,,,,
2020.11.14,115,,,,,,,,,,,,
2020.11.15,115,,,,,,,,,,,,
2020.11.16,115,,,,,,,,,,,,
2020.11.17,115,0,,,,,,,,,,,
2020.11.18,115,0.6,,,,,,,,,,,
2020.11.19,115,19.1,,,,,,,,,,,
2020.11.20,115,6,,,,,,,,,,,
2020.11.21,115,0,,,,,,,,,,,
2020.11.22,115,21.1,,,,,,,,,,,
2020.11.23,115,9,,,,,,,,,,,
2020.11.24,115,,,,,,,,,,,,
2020.11.25,115,,,,,,,,,,,,
2020.11.26,115,0.6,,,,,,,,,,,
2020.11.27,115,35.2,,,,,,,,,,,
2020.11.28,115,19.5,,,,,,,,,,,
2020.11.29,115,3.9,,,,,,,,,,,
2020.11.30,115,,,,,,,,,,,,
2020.12.1,115,0,,,,,,,,,,,
2020.12.2,115,0,,,,,,,,,,,
2020.12.3,115,,,,,,,,,,,,
2020.12.4,115,2.9,,,,,,,,,,,
2020.12.5,115,,,,,,,,,,,,
2020.12.6,115,,,,,,,,,,,,
2020.12.7,115,,,,,,,,,,,,
2020.12.8,115,2.5,,,,,,,,,,,
2020.12.9,115,,,,,,,,,,,,
2020.12.10,115,,,,,,,,,,,,
2020.12.11,115,,,,,,,,,,,,
2020.12.12,115,0,,,,,,,,,,,
2020.12.13,115,9,,,,,,,,,,,
2020.12.14,115,35.1,,,,,,,,,,,
2020.12.15,115,7.8,,,,,,,,,,,
2020.12.16,115,3.5,,,,,,,,,,,
2020.12.17,115,1.9,,,,,,,,,,,
2020.12.18,115,0.4,,,,,,,,,,,
2020.12.19,115,0.1,,,,,,,,,,,
2020.12.20,115,3,,,,,,,,,,,
2020.12.21,115,0,,,,,,,,,,,
2020.12.22,115,,,,,,,,,,,,
2020.12.23,115,,,,,,,,,,,,
2020.12.24,115,0.2,,,,,,,,,,,
2020.12.25,115,0.4,,,,,,,,,,,
2020.12.26,115,,,,,,,,,,,,
2020.12.27,115,,,,,,,,,,,,
2020.12.28,115,,,,,,,,,,,,
2020.12.29,115,3.8,,,,,,,,,,,
2020.12.30,115,33.4,,,,,,,,,,,
2020.12.31,115,5.2,,,,,,,,,,,
2021.1.1,115,0,,,,,,,,,,,
2021.1.2,115,10.1,,,,,,,,,,,
2021.1.3,115,0.1,,,,,,,,,,,
2021.1.4,115,,,,,,,,,,,,
2021.1.5,115,1,,,,,,,,,,,
2021.1.6,115,4.9,,,,,,,,,,,
2021.1.7,115,10.2,,,,,,,,,,,
2021.1.8,115,3.9,,,,,,,,,,,
2021.1.9,115,14.1,,,,,,,,,,,
2021.1.10,115,3.7,,,,,,,,,,,
2021.1.11,115,1.1,,,,,,,,,,,
2021.1.12,115,0,,,,,,,,,,,
2021.1.13,115,0.1,,,,,,,,,,,
2021.1.14,115,,,,,,,,,,,,
2021.1.15,115,0.3,,,,,,,,,,,
2021.1.16,115,36,,,,,,,,,,,
2021.1.17,115,3.7,,,,,,,,,,,
2021.1.18,115,4.4,,,,,,,,,,,
2021.1.19,115,0.7,,,,,,,,,,,
2021.1.20,115,,,,,,,,,,,,
2021.1.21,115,0,,,,,,,,,,,
2021.1.22,115,0,,,,,,,,,,,
2021.1.23,115,0,,,,,,,,,,,
2021.1.24,115,,,,,,,,,,,,
2021.1.25,115,,,,,,,,,,,,
2021.1.26,115,6.9,,,,,,,,,,,
2021.1.27,115,,,,,,,,,,,,
2021.1.28,115,0.3,,,,,,,,,,,
2021.1.29,115,4.4,,,,,,,,,,,
2021.1.30,115,0,,,,,,,,,,,
2021.1.31,115,,,,,,,,,,,,
2021.2.1,115,11,,,,,,,,,,,
2021.2.2,115,0,,,,,,,,,,,
2021.2.3,115,0,,,,,,,,,,,
2021.2.4,115,0.3,,,,,,,,,,,
2021.2.5,115,,,,,,,,,,,,
2021.2.6,115,,,,,,,,,,,,
2021.2.7,115,14.9,,,,,,,,,,,
2021.2.8,115,26.6,,,,,,,,,,,
2021.2.9,115,0.8,,,,,,,,,,,
2021.2.10,115,,,,,,,,,,,,
2021.2.11,115,,,,,,,,,,,,
2021.2.12,115,,,,,,,,,,,,
2021.2.13,115,,,,,,,,,,,,
2021.2.14,115,0,,,,,,,,,,,
2021.2.15,115,1.4,,,,,,,,,,,
